album_id,name,score
1,Bad Bitch From Tokyo,6.0
1,Aim For The Moon,8.5
1,For The Night,9.6
1,44 BullDog,7.8
1,Gangstas,7.6
1,Yea Yea,7.7
1,Creature,7.4
1,Snitching,6.7
1,Make It Rain,8.2
1,The Woo,9.0
1,Weat Coast Shit,7.5
1,Enjoy Yourself,7.8
1,Mood Swings,9.2
1,Something Special,8.7
1,What You Know Bout Love,9.7
1,Diana,7.4
1,Got It On Me,9.0
1,Tunnel Vission,8.0
1,Dior - Bonus,9.2
2,NO SECRET,5.5
2,GOD DID,7.6
2,USE THIS GOSPEL REMIX,8.0
2,BIG TIME,7.8
2,KEEP GOING,8.2
2,PARTY,8.6
2,STAYING ALIVE,8.5
2,BEAUTIFUL,9.2
2,IT AIN'T SAFE,5.0
2,LET'S PRAY,7.9
2,"FAM GOOD, WE GOOD",7.5
2,BILLS PAID,7.2
2,WAY PAST LUCK,6.5
2,THESE STREETS KNOW MY NAME,4.8
2,Juice WRLD DID,9.3
2,JADAKISS INTERLUDE,6.7
2,ASAHD AND AALAM CLOTH TALK,0.0
2,GRATEFUL,6.9
3,Gernade,9.2
3,Just the Way You Are,9.7
3,Our First Time,8.6
3,Runaway Baby,9.1
3,The Lazy Song,9.9
3,Marry You,9.8
3,Talking to the Moon,9.8
3,Liquor Store Blues,8.7
3,Count on Me,10.0
3,The Other Side,9.0
4,What's Up Danger,8.3
4,Sunflower,9.2
4,Way Up,8.0
4,Familia,6.9
4,Invincible,7.0
4,Start a Riot,7.5
4,Hide,9.0
4,Memories,8.1
4,Save The Day,7.6
4,Let Go,7.6
4,Scared of the Dark,8.8
4,Elevate,8.0
4,Home,8.0
5,Peace Of Mind,7.6
5,Heaven,10.0
5,SOS,9.2
5,Tough Love,8.5
5,Bad Reputation,8.2
5,Ain't A Thing,8.0
5,Hold The Line,8.4
5,Freak,8.3
5,Excuse Me Mr Sir,6.6
5,Heart Upon My Sleeve,8.0
5,Never Leave Me,7.8
5,Fades Away,8.5
6,🪐,3.0
6,Higher Power,8.7
6,Humankind,9.0
6,✨,4.5
6,Let Somebody Go,8.8
6,♥,6.7
